county_name,cap_index,umax_units,units_A,binding_A,units_B,binding_B,units_C,capacity_uplift_flag,rho_sbm_bc,rho_sbm_ci_low,rho_sbm_ci_high,theta_ccr,mean_hfvs
Baringo,0.35,200,0.0,Not activated,100.0,National quota,0.0,False,0.49293593629966365,0.0022081008147458387,0.22056834177852302,0.76664244,-0.039343078701018226
Bomet,0.4329787234042553,200,200.0,Capacity,100.0,National quota,0.0,True,0.9263140148084311,0.0018982696882139723,0.14989871422498705,0.79103368,-0.07464230091703836
Bungoma,0.4691489361702127,205,205.0,Capacity,205.0,Capacity,308.0,True,1.0,0.001774964512053704,0.07015698654287444,1.0,-0.023210968616952918
Busia,0.47659574468085103,210,100.0,National quota,100.0,National quota,0.0,False,0.7936227073838449,0.02780081062766958,1.0,0.84408506,0.09560711687031809
Elgeyo-Marakwet,0.24361702127659574,200,0.0,Not activated,100.0,National quota,0.0,False,0.7780761948615285,0.0014373334673553186,0.14900535846912066,0.88624831,-0.04371756679327617
Embu,0.32127659574468087,200,200.0,Capacity,100.0,National quota,0.0,True,1.0,0.006799001442634716,0.10892523252827682,0.95496176,-0.04079940453140937
Garissa,0.3611702127659574,200,0.0,Not activated,100.0,National quota,0.0,False,1.0,0.0029953084706322002,0.2158963456939805,1.0,-0.3064969929604414
Homa Bay,0.4617021276595744,200,0.0,Not activated,100.0,National quota,0.0,False,0.6068840362888935,0.006958958297174318,0.2081705141182976,0.69512404,-0.041146784562934
Isiolo,0.17446808510638298,200,0.0,Not activated,100.0,National quota,0.0,False,0.7624207281971919,0.0038990908053903213,0.22362270904124895,0.91306849,-0.23301788404040027
Kajiado,0.6574468085106382,340,0.0,Not activated,100.0,National quota,0.0,False,0.2118797889727684,0.007421780861293272,0.3129888550920161,0.70573811,-0.23318457786055014
Kakamega,0.5101063829787233,232,232.0,Capacity,232.0,Capacity,348.0,True,0.8332030708190785,0.0013105003517994156,0.4324421247805948,0.82327794,0.12641085968844284
Kericho,0.3531914893617021,200,0.0,Not activated,100.0,National quota,0.0,False,0.8756055884954024,8.500705399825561e-08,0.14642417019867526,0.63983089,-0.10053518209558616
