county_name,rho_sbm_bc,rho_sbm_ci_low,rho_sbm_ci_high,theta_ccr,theta_bcc,scale_efficiency,policy_quadrant,cap_index,umax_units,units_A,binding_A,units_B,binding_B,units_C,capacity_uplift_flag,active_A,active_B,active_C,cost_A_ksh,cost_B_ksh,cost_C_ksh,mean_hfvs,mean_hcb,allocation_pct,priority_score,vulnerable_population_2026,pop_2026_est
Baringo,0.49293593629966365,0.0022081008147458387,0.22056834177852302,0.76664244,0.85637673,0.8952163377909627,"Improve (Low Vuln, Low Eff)",0.35,200,0.0,Not activated,100.0,National quota,0.0,False,False,True,False,0.0,329149386.1702128,0.0,-0.039343078701018226,0.1833282431646306,0.0,0.5214306968489755,421933.3990824443,780740
Bomet,0.9263140148084311,0.0018982696882139723,0.14989871422498705,0.79103368,0.7986042,0.9905203103114159,"Maintain (Low Vuln, High Eff)",0.4329787234042553,200,200.0,Capacity,100.0,National quota,0.0,True,True,True,False,658298622.3404256,329149311.1702128,0.0,-0.07464230091703836,0.03344241908696885,3.3329998787311763,0.6639990286134878,501536.34730079153,1025380
Bungoma,1.0,0.001774964512053704,0.07015698654287444,1.0,1.0,1.0,"Expand (High Vuln, High Eff)",0.4691489361702127,205,205.0,Capacity,205.0,Capacity,308.0,True,True,True,True,674755934.1489362,674755934.1489362,1013779647.4042554,-0.023210968616952918,0.03356869796869797,3.416324097255275,0.7383247082771593,1103016.927540957,1956139
Busia,0.7936227073838449,0.02780081062766958,1.0,0.84408506,1.0,0.84408506,"Priority (High Vuln, Low Eff)",0.47659574468085103,210,100.0,National quota,100.0,National quota,0.0,False,True,True,False,329149311.1702128,329149311.1702128,0.0,0.09560711687031809,0.018360086299892126,1.6664999393655882,0.7593903202795488,770781.0171710964,1046448
Elgeyo-Marakwet,0.7780761948615285,0.0014373334673553186,0.14900535846912066,0.88624831,0.97484375,0.9091183176791153,"Improve (Low Vuln, Low Eff)",0.24361702127659574,200,0.0,Not activated,100.0,National quota,0.0,False,False,True,False,0.0,329150736.1702128,0.0,-0.04371756679327617,0.2159384484228474,0.0,0.6316720941218468,284215.23613309703,532169
Embu,1.0,0.006799001442634716,0.10892523252827682,0.95496176,1.0,0.95496176,"Maintain (Low Vuln, High Eff)",0.32127659574468087,200,200.0,Capacity,100.0,National quota,0.0,True,True,True,False,658298622.3404256,329149311.1702128,0.0,-0.04079940453140937,0.0787942612942613,3.3329998787311763,0.7229865202788992,383618.6264873885,712634
Garissa,1.0,0.0029953084706322002,0.2158963456939805,1.0,1.0,1.0,"Maintain (Low Vuln, High Eff)",0.3611702127659574,200,0.0,Not activated,100.0,National quota,0.0,False,False,True,False,0.0,329149311.1702128,0.0,-0.3064969929604414,0.24184240083278546,0.0,0.4912820309297804,149881.29136874393,985175
Homa Bay,0.6068840362888935,0.006958958297174318,0.2081705141182976,0.69512404,0.82504293,0.8425307517028237,"Improve (Low Vuln, Low Eff)",0.4617021276595744,200,0.0,Not activated,100.0,National quota,0.0,False,False,True,False,0.0,329148936.1702128,0.0,-0.041146784562934,0.11169257828006643,0.0,0.5654370409902643,712833.3133209652,1325447
Isiolo,0.7624207281971919,0.0038990908053903213,0.22362270904124895,0.91306849,0.91769266,0.9949610907861026,"Improve (Low Vuln, Low Eff)",0.17446808510638298,200,0.0,Not activated,100.0,National quota,0.0,False,False,True,False,0.0,329149401.17021275,0.0,-0.23301788404040027,0.06658983288684782,0.0,0.4603284881456913,81257.31667027484,313815
Kajiado,0.2118797889727684,0.007421780861293272,0.3129888550920161,0.70573811,0.77257074,0.913493190280543,"Improve (Low Vuln, Low Eff)",0.6574468085106382,340,0.0,Not activated,100.0,National quota,0.0,False,False,True,False,0.0,329149236.1702128,0.0,-0.23318457786055014,0.07306569343065694,0.0,0.23996652506944,338607.8255842598,1308925
