household_unique_key,county_code,county_name,HFVS,HFVS_tier,d1_score,d2_score,d3_score,d4_score,d5_score,housing_cost_burden,is_urban_household,is_female_headed_hh,dwelling_tenure_type_code,hcb_predicted_hurdle,in_test_split,rho_sbm_bc,rho_sbm_ci_low,rho_sbm_ci_high,theta_ccr,theta_bcc,scale_efficiency,policy_quadrant,cap_index,umax_units,units_A,binding_A,units_B,binding_B,units_C,capacity_uplift_flag,active_A,active_B,active_C,cost_A_ksh,cost_B_ksh,cost_C_ksh,mean_hfvs,mean_hcb,allocation_pct,priority_score,vulnerable_population_2026,pop_2026_est
00-00-55-14,31.0,Laikipia,0.2705680982555339,High,0.7112169416804034,-1.1334803140094243,0.41826320186353827,2.864125028828124,-0.700033638159651,0.15,1.0,0.0,1.0,0.15,False,0.9626750889083914,0.0004706662278744238,0.11292186605075635,0.73581589,0.74495683,0.9877295708531191,"Expand (High Vuln, High Eff)",0.6457446808510638,261,261.0,Capacity,100.0,National quota,0.0,True,True,True,False,859079702.1542554,329149311.1702128,0.0,0.1155324308505058,0.10054860366849132,4.349564841744185,0.8443874285968377,464831.5134460619,607203
00-01-22-52,14.0,Embu,-0.5184565729155016,Low,1.1920006882630074,-2.1361916448388065,1.47640122782255,-0.6285555460057006,-1.3349012381351149,0.0044444444444444444,1.0,1.0,2.0,0.0044444444444444444,False,1.0,0.006799001442634716,0.10892523252827682,0.95496176,1.0,0.95496176,"Maintain (Low Vuln, High Eff)",0.32127659574468087,200,200.0,Capacity,100.0,National quota,0.0,True,True,True,False,658298622.3404256,329149311.1702128,0.0,-0.04079940453140937,0.0787942612942613,3.3329998787311763,0.7229865202788992,383618.6264873885,712634
00-02-11-67,38.0,Vihiga,-0.20663504483744852,Moderate,-0.7311342980674084,-1.1334803140094243,1.3950059950564724,0.6573482285768244,0.7052350943703076,0.017777777777777778,1.0,0.0,1.0,0.03327220406945807,True,0.8814102234261105,0.0026430229157509847,0.2481669392437785,0.75410204,0.78954663,0.9551076672950906,"Priority (High Vuln, Low Eff)",0.3712765957446808,200,195.0,National quota,100.0,National quota,0.0,False,True,True,False,641840425.531915,329148936.1702128,0.0,0.10864880196715894,0.055698055555555556,3.2496711794064304,0.805878506007055,521968.9396563594,690870
00-02-70-91,7.0,Garissa,-0.30482808027247316,Moderate,-1.2119180446500124,0.20346812709641843,-0.39568912579723997,-0.7297686172954221,0.9810577220750036,0.01,0.0,0.0,1.0,0.01,False,1.0,0.0029953084706322002,0.2158963456939805,1.0,1.0,1.0,"Maintain (Low Vuln, High Eff)",0.3611702127659574,200,0.0,Not activated,100.0,National quota,0.0,False,False,True,False,0.0,329149311.1702128,0.0,-0.3064969929604414,0.24184240083278546,0.0,0.4912820309297804,149881.29136874393,985175
00-02-78-46,14.0,Embu,0.024602990018086662,High,2.6343519280108194,-0.7992432037329633,-0.39568912579723997,-0.29670941062956524,-2.262235934728488,0.006666666666666667,1.0,1.0,2.0,0.006666666666666667,False,1.0,0.006799001442634716,0.10892523252827682,0.95496176,1.0,0.95496176,"Maintain (Low Vuln, High Eff)",0.32127659574468087,200,200.0,Capacity,100.0,National quota,0.0,True,True,True,False,658298622.3404256,329149311.1702128,0.0,-0.04079940453140937,0.0787942612942613,3.3329998787311763,0.7229865202788992,383618.6264873885,712634
00-02-91-37,36.0,Bomet,-0.23826746240918822,Moderate,-1.2119180446500124,0.20346812709641843,-0.15150342749900653,-0.45267709425634894,0.8336352831293903,0.0022222222222222222,0.0,0.0,1.0,0.0022222222222222222,False,0.9263140148084311,0.0018982696882139723,0.14989871422498705,0.79103368,0.7986042,0.9905203103114159,"Maintain (Low Vuln, High Eff)",0.4329787234042553,200,200.0,Capacity,100.0,National quota,0.0,True,True,True,False,658298622.3404256,329149311.1702128,0.0,-0.07464230091703836,0.03344241908696885,3.3329998787311763,0.6639990286134878,501536.34730079153,1025380
00-03-15-85,41.0,Siaya,0.3499485644812351,High,0.23043319509779941,-1.1334803140094243,1.7205869261207833,3.370190385276731,-1.3420345819550634,0.2,0.0,0.0,1.0,0.2,False,1.0,1.4556007855037893e-07,0.21586710680753915,0.93263841,0.95579005,0.9757774837685327,"Expand (High Vuln, High Eff)",0.3276595744680851,200,200.0,Capacity,100.0,National quota,300.0,True,True,True,True,658298082.3404255,329149041.17021275,987447123.5106384,0.15895926392298795,0.04492176233242223,3.3329971446833233,0.8971882529365098,963682.5890779841,1162959
00-03-32-51,3.0,Kilifi,-1.0772784686299957,Low,-0.2503505514848045,-2.470428755115267,-0.884060522393707,0.5876605401478355,-1.4062346763346047,0.022222222222222223,1.0,1.0,1.0,0.022222222222222223,False,0.8181719766172306,0.0036298972198070085,0.19450639335609124,0.6787647,0.76926551,0.882354260234545,"Improve (Low Vuln, Low Eff)",0.5287234042553192,200,200.0,Capacity,100.0,National quota,0.0,True,True,True,False,658298622.3404256,329149311.1702128,0.0,-0.09473909535559052,0.07373232502264761,3.3329998787311763,0.6032165405835807,782909.5042997724,1702299
00-04-42-13,46.0,Nyamira,-0.30878555516325507,Moderate,-1.2119180446500124,0.20346812709641843,-0.6398748240954736,-0.4626324783176331,0.7765685325697983,0.03076923076923077,1.0,1.0,1.0,0.03076923076923077,False,0.34650287995774187,0.013579799902952591,0.3167674515482774,0.55086903,0.78114229,0.7052095847992047,"Priority (High Vuln, Low Eff)",0.35744680851063826,200,0.0,Not activated,100.0,National quota,0.0,False,False,True,False,0.0,329149311.1702128,0.0,-0.026825598454177854,0.11871162120592645,0.0,0.47377342135900125,396114.71756229625,709094
00-04-71-65,18.0,Nyandarua,-0.24967150361460816,Moderate,1.6727844348456111,-0.7992432037329633,-1.1282462206919404,-0.5207055520084566,-1.3349012381351149,0.0,1.0,1.0,2.0,0.0,False,1.0,0.00697680791135282,0.12550523759074217,0.96120403,0.96695703,0.9940504078035401,"Expand (High Vuln, High Eff)",0.502127659574468,227,227.0,Capacity,100.0,National quota,340.0,True,True,True,True,747540455.906383,329312976.17021275,1119664118.9787235,0.1236146906087834,0.052664136125654445,3.7848358850038237,0.8663656310246903,580935.3437703709,747399
